conference,talk,score
1971-04,a-witness-and-a-blessing,3.0915088967695876
1971-04,all-may-share-in-adams-blessing,1.845477111787875
1971-04,be-slow-to-anger,-1.5656875913513228
1971-04,choose-you-this-day,1.3876996696547408
1971-04,drink-of-the-pure-water,1.7996424715559827
1971-04,eternal-joy-is-eternal-growth,3.6533870182203443
1971-04,except-the-lord-build-the-house,3.6771075035787737
1971-04,great-experiences,3.424228969665616
1971-04,help-needed-in-the-shaded-areas,2.03896831587502
1971-04,honesty-and-integrity,3.862920211457078
1971-04,ignorance-is-expensive,1.4854827540665565
1971-04,in-the-mountain-of-the-lords-house,3.1219409091704735
1971-04,kingdom-of-god,2.437353956755376
1971-04,life-is-eternal,1.8787034862388745
1971-04,lost-battalions,0.3190045575443351
1971-04,love-of-god,5.109065461425921
1971-04,love-of-the-right,2.3348689263480735
1971-04,man-cannot-endure-on-borrowed-light,2.2413693582955663
1971-04,marriage-is-intended-to-be-forever,1.8001096078316132
1971-04,my-brothers-keeper,1.588870054500822
1971-04,our-responsibilities-as-priesthood-holders,1.560477900481281
1971-04,out-of-the-darkness,2.332712623375272
1971-04,practicing-what-we-preach,6.347163275611355
1971-04,prepare-every-needful-thing,1.9756305695419834
1971-04,satan-the-great-deceiver,0.45853239233656545
1971-04,search-for-the-wanderers,2.3043990703611907
1971-04,teach-one-another,2.5055796046650265
1971-04,the-iron-rod,2.1207774939970316
1971-04,the-law-of-abundance,5.060213829688928
1971-04,the-lords-people-receive-revelation,2.5758129370529645
1971-04,the-meaning-of-morality,2.8165223186155495
1971-04,the-message-of-the-restoration,2.5448775999818745
1971-04,the-spirit-beareth-record,1.4911722944086998
1971-04,thou-shalt-not-commit-adultery,1.0429031876562318
1971-04,todays-young-people,2.329865286086065
1971-04,unchanging-principles-of-leadership,1.60370366446706
1971-04,voices-of-the-past-of-the-present-of-the-future,0.683651126693563
1971-04,warnings-from-the-past,0.3658664615902029
1971-04,when-thou-art-converted,0.7902097499986016
1971-04,where-are-you-really-going,1.4721398599303557
1971-04,ye-shall-not-fear,1.4284914503254487
1971-04,young-people-learn-wisdom-in-thy-youth,3.414380260758277
1971-10,a-new-health-missionary-program,3.0199190679397345
1971-10,a-time-of-testing,1.6424598681869371
1971-10,blessings-of-the-priesthood,3.5646150289975953
1971-10,by-love-serve-one-another,0.9417950344835584
1971-10,confession-and-forsaking-elements-of-genuine-repentance,1.558637392267718
1971-10,continuity-of-service,4.589252044701564
1971-10,decisions,1.875906680832034
1971-10,elijah-the-prophet,0.5135525910130955
1971-10,glimpses-of-heaven,3.3892202144314756
1971-10,honesty-a-principle-of-salvation,-1.7109349232056295
1971-10,how-to-worship,2.9097146140783487
1971-10,i-know-that-my-redeemer-liveth,3.220319012994605
1971-10,i-was-in-prison-and-ye-came-unto-me,-0.21342821140488324
1971-10,if-ye-be-willing-and-obedient,2.362743007001387
1971-10,laying-a-foundation-for-the-millennium,2.790047773214539
1971-10,let-the-spirit-of-oneness-prevail,3.062127263296445
1971-10,love-unconditional,2.5061044101131964
1971-10,our-responsibility-to-save-the-world,2.560785195568708
1971-10,responsibilities-of-the-priesthood,2.264614055681906
1971-10,sacrifice-still-brings-forth-blessings,3.236377285026343
1971-10,satans-thrust-youth,1.2112640753175725
1971-10,should-the-commandments-be-rewritten,0.9440891630699332
1971-10,strengthen-thy-brethren,2.8695876329800565
1971-10,strive-for-excellence,2.6676404531400384
1971-10,the-light-shineth,1.7304690256794972
1971-10,the-living-christ,2.710992917073966
1971-10,the-nobility-of-man-in-choosing-good-over-evil,1.2026832342287614
1971-10,the-only-true-and-living-church,1.537895048496377
1971-10,the-purpose-of-life-to-be-proved,2.8056666556103345
1971-10,the-sifting,2.6656384550739154
1971-10,the-ten-commandments,2.1582124234011193
1971-10,the-things-that-matter-most,2.3433692219419515
1971-10,the-vitality-of-love,5.939868279337463
1971-10,this-is-my-beloved-son,2.853618957233343
1971-10,this-same-jesus,2.515584181002925
1971-10,thou-shalt-not,0.6751492859105923
1971-10,thus-saith-the-lord,3.067753430624944
1971-10,turn-heavenward-our-eyes,2.6111575951449795
1971-10,watch-that-ye-may-be-ready,1.94291075369151
1971-10,what-is-a-teacher,2.383902198229124
1971-10,where-art-thou,1.7902061900667166
1971-10,with-hand-and-heart,1.0315567367350769
1971-10,you-can-get-there-from-here,2.0680579064320814
1972-04,a-challenge-to-the-priesthood,3.56851668462449
1972-04,a-foundation-whereon-men-cannot-fall,2.0655501596255013
1972-04,a-missionary-and-his-message,1.0514994558491724
1972-04,a-people-of-sound-judgment,2.1125400064402116
1972-04,a-prophets-blessing,2.4513035081133645
1972-04,a-teacher,0.7010474854043832
1972-04,a-time-of-decision,1.53026122785005
1972-04,am-i-my-brothers-keeper,2.9283917743575114
1972-04,be-a-missionary-always-everywhere-you-go,1.8566086295506479
1972-04,civic-standards-for-the-faithful-saints,2.4971640891964015
1972-04,counsel-to-the-saints-and-to-the-world,2.9230953956405887
1972-04,courts-of-love,2.9588433176909796
1972-04,eternal-keys-and-the-right-to-preside,1.5453504806703584
1972-04,finishers-wanted,1.4560660635686786
1972-04,joy-through-christ,2.1037466142855172
1972-04,judge-not-that-ye-be-not-judged,0.7457010989739228
1972-04,keep-the-lines-of-communication-strong,0.021501647626876532
1972-04,know-thyself-control-thyself-give-thyself,3.5679614065695344
1972-04,knowing-god,6.095791410261506
1972-04,mans-eternal-horizon,3.5485529775017794
1972-04,medicine-for-the-soul,2.996008241372195
1972-04,missionary-training-begins-early,3.3867012302430717
1972-04,our-witness-to-the-world,2.1289282114109245
1972-04,peace,3.2988309617629263
1972-04,priesthood-its-power-and-vitality,2.0172665073930394
1972-04,salvation-and-exaltation,1.7440374613713625
1972-04,setting-the-example-in-the-home,2.3133050042013146
1972-04,successful-parenthood-a-noteworthy-accomplishment,3.8055303595790373
1972-04,the-aaronic-priesthood-a-sure-foundation,4.329450595108191
1972-04,the-covenant-of-the-priesthood,1.526772570738229
1972-04,the-fullness-of-the-gospel-in-each-mans-language,1.2284599158815555
1972-04,the-importance-of-a-personal-testimony,3.2414092624557616
1972-04,the-importance-of-prayer,5.252480924126296
1972-04,the-last-dispensation,2.359259848009587
1972-04,the-miracle-of-missionary-work,3.5377377864790667
1972-04,the-priesthood-a-royal-army,3.17400827734579
1972-04,the-strength-of-the-priesthood,1.290561985816431
1972-04,the-testimony-of-jesus,2.4513132297793994
1972-04,the-true-church,2.5109311581361355
1972-04,we-are-called-of-god,2.5526373512131544
1972-04,what-is-your-destination,3.003987527960122
1972-04,what-will-the-church-do-for-you-a-man,3.535031957345959
1972-04,whence-cometh-our-peace,4.153509604674677
1972-04,why-stay-morally-clean,4.194983701209051
1972-10,a-blessing-for-the-saints,3.2435897939614766
1972-10,admonitions-for-the-priesthood-of-god,0.8478902066664795
1972-10,altar-tent-well,3.5
1972-10,an-instrument-in-the-hands-of-the-lord,1.233339677689557
1972-10,another-prophet-now-has-come,2.8331361475066283
1972-10,becoming-a-somebody,2.784424976993332
1972-10,by-love-serve-one-another,2.4155573805499557
